"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","diggCount","input","likedByAuthor","mentions/0","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/90cb99bcc4ccfa1a7af2e6fcca0af48f~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=bfb68bfc&x-expires=1749628800&x-signature=%2BFv6KLowdKQRZsH%2B4VOxXXvvA4Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7511878528612139784","1748995528","2025-06-04T00:05:28.000Z",,,,,"865","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"8","https://vt.tiktok.com/ZSkPusC2k/","kalo kaya gini biasanya diumpetin kasusnya, untuk menjaga nama baik😂","6945479064836752386","faris_muamar","https://www.tiktok.com/@kumparan/video/7511876403818712376"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/53ab75bf8eb82235e588009737fd1388~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=710eab9b&x-expires=1749628800&x-signature=GF5K6hSXTpGS%2BxV5wC6ETTc7OMU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7513120076302156551","1749284594","2025-06-07T08:23:14.000Z",,,,,"1","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"4","https://vt.tiktok.com/ZSkPusC2k/","ngapain ikut oraganisasi kalau fisik kita lemah","7307970507323327489","khaja0529","https://www.tiktok.com/@kumparan/video/7511876403818712376"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/28fd92aa6b76ef1008627c24cdc7a6b0~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=dea6f7a5&x-expires=1749628800&x-signature=APDrI0JymUEWvRVMxrOdHc2FX9A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7512116894557569800","1749051018","2025-06-04T15:30:18.000Z",,,,,"528","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"11","https://vt.tiktok.com/ZSkPusC2k/","usut sampe beres. nyawa kok d buat main2","177851348409913344","dhewy_abdillah","https://www.tiktok.com/@kumparan/video/7511876403818712376"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/deaae150ad3a6cc9957c4e5d2bf4edfc~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=3c78c9ea&x-expires=1749628800&x-signature=vYbnk4xDiySrVWgFoYsF31buYVs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7512303436495717138","1749094713","2025-06-05T03:38:33.000Z",,,,,"13","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"2","https://vt.tiktok.com/ZSkPusC2k/","dosen nya harus tanggung jawab juga ini tugas mereka jaga anak2..kok bisa sampai begitu kita udah byr mhl..","6656210102583230470","akongmelie","https://www.tiktok.com/@kumparan/video/7511876403818712376"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4c42699dfb3db04de9f6251e97730822~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=40cf4837&x-expires=1749628800&x-signature=Z5I%2FnhNApcCK2Uaf45LjRYQkBc0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7512432027985543956","1749124762","2025-06-05T11:59:22.000Z",,,,,"27","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"3","https://vt.tiktok.com/ZSkPusC2k/","Pendidikan macam apa itu sampai merenggut nyawa","7412604606902486021","erna65552","https://www.tiktok.com/@kumparan/video/7511876403818712376"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0777cb518df1552b4f2a1629d34a67a4~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=e4ebfa4e&x-expires=1749628800&x-signature=nNYvLxb5GDGp6FjKF%2FBKXbn0xGw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7512225090462253842","1749076228","2025-06-04T22:30:28.000Z",,,,,"41","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"3","https://vt.tiktok.com/ZSkPusC2k/","KENAPA REKTORNYA DIAM SAJA ???","7065321157017682946","krisnaputra402","https://www.tiktok.com/@kumparan/video/7511876403818712376"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8b4f476fd1df08b9d6f7e31dd9258c08~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=687ab095&x-expires=1749628800&x-signature=xuzszeHijRn1%2FxZh8t5LQzlXtuE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7512096526316356369","1749046279","2025-06-04T14:11:19.000Z",,,,,"254","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"5","https://vt.tiktok.com/ZSkPusC2k/","next buat semuanya yg lagi menuntut ilmu jika terjadi hal-hal yg tidak masuk akal jgn takut buat speak up ya☺ kumpulkan bukti lapor ke polisi, klw polisi tidak menanggapi sebarkan di sosmed nanti dibantu para netizen biar viral","6515345597155196930","kelv1nalvian0","https://www.tiktok.com/@kumparan/video/7511876403818712376"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4035c8f59edc52ef2d53855f1dbe2757~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=d55226c8&x-expires=1749628800&x-signature=ixIee8LeHsEUmMrcBP4DHVBz8uM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7512836821392392967","1749218639","2025-06-06T14:03:59.000Z",,,,,"0","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"2","https://vt.tiktok.com/ZSkPusC2k/","bersyukur anakku ga lulus jalur smbp tahun ini","7295176122562774022","kakaktua_982","https://www.tiktok.com/@kumparan/video/7511876403818712376"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7332575213902626824~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=5747a0f8&x-expires=1749628800&x-signature=0KSN8cApLgnUqKNuEIuyF6Br794%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7512323466516628242","1749099117","2025-06-05T04:51:57.000Z",,,,,"36","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"6","https://vt.tiktok.com/ZSkPusC2k/","itu mau ikut militer atau kuliah ..😱","83200150504","amhaa96","https://www.tiktok.com/@kumparan/video/7511876403818712376"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a7be7a2260366041bb3018893a5c520d~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=79374de7&x-expires=1749628800&x-signature=UbUZ2Krcd0ySQMBQXABvOACg%2Fo0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7512301018673349384","1749093891","2025-06-05T03:24:51.000Z",,,,,"66","https://vt.tiktok.com/ZSkPusC2k/","false",,"false",,"2","https://vt.tiktok.com/ZSkPusC2k/","Gak ada gunanya Senior Campus mengadakan larihan dasar buat mahasiswa baru kalau buatt mahasiswa baru menjadi Korban...","7279473687505519621","mmawarmerah.22","https://www.tiktok.com/@kumparan/video/7511876403818712376"
